,#Passengers,T,Fitted,Residuals
1956-12-01,306.0,96.0,342.7424329501915,-36.74243295019153
1957-01-01,315.0,97.0,345.39961685823744,-30.399616858237437
1957-02-01,301.0,98.0,348.05680076628346,-47.05680076628346
1957-03-01,356.0,99.0,350.7139846743295,5.286015325670519
1957-04-01,348.0,100.0,353.3711685823754,-5.37116858237539
1957-05-01,355.0,101.0,356.0283524904214,-1.0283524904214119
1957-06-01,422.0,102.0,358.6855363984673,63.31446360153268
1957-07-01,465.0,103.0,361.34272030651334,103.65727969348666
1957-08-01,467.0,104.0,363.99990421455936,103.00009578544064
1957-09-01,404.0,105.0,366.6570881226053,37.34291187739473
1957-10-01,347.0,106.0,369.3142720306513,-22.314272030651296
1957-11-01,305.0,107.0,371.9714559386972,-66.9714559386972
1957-12-01,336.0,108.0,374.6286398467432,-38.628639846743226
1958-01-01,340.0,109.0,377.28582375478913,-37.285823754789135
1958-02-01,318.0,110.0,379.94300766283516,-61.94300766283516
1958-03-01,362.0,111.0,382.6001915708812,-20.60019157088118
1958-04-01,348.0,112.0,385.2573754789271,-37.25737547892709
1958-05-01,363.0,113.0,387.9145593869731,-24.91455938697311
1958-06-01,435.0,114.0,390.571743295019,44.42825670498098
1958-07-01,491.0,115.0,393.22892720306504,97.77107279693496
1958-08-01,505.0,116.0,395.88611111111106,109.11388888888894
1958-09-01,404.0,117.0,398.543295019157,5.456704980843028
1958-10-01,359.0,118.0,401.200478927203,-42.200478927202994
1958-11-01,310.0,119.0,403.8576628352489,-93.8576628352489
1958-12-01,337.0,120.0,406.5148467432949,-69.51484674329492
1959-01-01,360.0,121.0,409.17203065134095,-49.17203065134095
1959-02-01,342.0,122.0,411.82921455938686,-69.82921455938686
1959-03-01,406.0,123.0,414.4863984674329,-8.486398467432878
1959-04-01,396.0,124.0,417.1435823754788,-21.143582375478786
1959-05-01,420.0,125.0,419.8007662835248,0.1992337164751916
1959-06-01,472.0,126.0,422.45795019157083,49.54204980842917
1959-07-01,548.0,127.0,425.11513409961674,122.88486590038326
1959-08-01,559.0,128.0,427.77231800766276,131.22768199233724
1959-09-01,463.0,129.0,430.42950191570867,32.57049808429133
1959-10-01,407.0,130.0,433.0866858237547,-26.086685823754692
1959-11-01,362.0,131.0,435.7438697318007,-73.74386973180071
1959-12-01,405.0,132.0,438.4010536398466,-33.40105363984662
1960-01-01,417.0,133.0,441.05823754789265,-24.058237547892645
1960-02-01,391.0,134.0,443.71542145593855,-52.715421455938554
1960-03-01,419.0,135.0,446.3726053639846,-27.372605363984576
1960-04-01,461.0,136.0,449.0297892720306,11.970210727969402
1960-05-01,472.0,137.0,451.6869731800765,20.313026819923493
1960-06-01,535.0,138.0,454.34415708812253,80.65584291187747
1960-07-01,622.0,139.0,457.00134099616844,164.99865900383156
1960-08-01,606.0,140.0,459.65852490421446,146.34147509578554
1960-09-01,508.0,141.0,462.31570881226037,45.68429118773963
1960-10-01,461.0,142.0,464.9728927203064,-3.9728927203063904
1960-11-01,390.0,143.0,467.6300766283524,-77.63007662835241
1960-12-01,432.0,144.0,470.2872605363983,-38.28726053639832
1961-01-01,451.57654913613,,,
1961-02-01,427.25791417234154,,,
1961-03-01,464.70113649435206,,,
1961-04-01,500.10421270660737,,,
1961-05-01,508.6616004976936,,,
1961-06-01,567.7145573224248,,,
1961-07-01,647.8971452183157,,,
1961-08-01,632.4611747211037,,,
1961-09-01,534.3744736280264,,,
1961-10-01,484.9307408467043,,,
1961-11-01,418.46003706318743,,,
1961-12-01,471.0589549251944,,,
